Code,Yahoo Code,Company,Sector,Market Cap,Total Shares,Last trade
FBU,FBU.AX,Fletcher Building Limited,Industrials,3257460000,777436754.0,4.19
VHY,VHY.AX,Vanguard Australian Shares High Yield ETF,Financials,3136560000,47223126.0,66.42
NIC,NIC.AX,Nickel Industries Limited,Materials,3128640000,4285808219.0,0.73
NEC,NEC.AX,Nine Entertainment Co. Holdings Limited,Communication Services,3106180000,1617802083.0,1.92
GOLD,GOLD.AX,Global X Physical Gold ,Financials,3064630000,109178126.0,28.07
SQ2,SQ2.AX,Block Inc.,Financials,3041390000,33925153.0,89.65
CNU,CNU.AX,Chorus Limited,Communication Services,3024190000,436391053.0,6.93
SUL,SUL.AX,Super Retail Group Limited,Consumer Discretionary,3021560000,226334082.0,13.35
PDN,PDN.AX,Paladin Energy Limited,Energy,3013210000,2911314010.0,1.035
AUB,AUB.AX,AUB Group Limited,Financials,3003920000,107667384.0,27.9
ILU,ILU.AX,Iluka Resources Limited,Materials,2977970000,431589855.0,6.9
RWC,RWC.AX,Reliance Worldwide Corporation Limited,Industrials,2970760000,792202667.0,3.75
TLX,TLX.AX,Telix Pharmaceuticals Limited,Health Care,2968790000,316839915.0,9.37
IOO,IOO.AX,iShares Global 100 ETF,Financials,2961800000,24979337.0,118.57
ANN,ANN.AX,Ansell Limited,Health Care,2862660000,124032062.0,23.08
DOW,DOW.AX,Downer EDI Limited,Industrials,2854190000,671574118.0,4.25
A2M,A2M.AX,The A2 Milk Company Limited,Consumer Staples,2833900000,721094148.0,3.93
NSR,NSR.AX,National Storage REIT,Real Estate,2831150000,1348166667.0,2.1
SFR,SFR.AX,Sandfire Resources Limited,Materials,2810500000,448245614.0,6.27
CSR,CSR.AX,CSR Limited,Materials,2807020000,479013652.0,5.86
CTD,CTD.AX,Corporate Travel Management Limited,Consumer Discretionary,2778730000,146867336.0,18.92
AVZ,AVZ.AX,AVZ Minerals Limited,Materials,2752410000,3528730769.0,0.78
VEU,VEU.AX,Vanguard All-World Ex-US Shares Index ETF,Financials,2713180000,32875076.0,82.53
CRN,CRN.AX,Coronado Global Resources Inc.,Materials,2682330000,1655759259.0,1.62
ETHI,ETHI.AX,BetaShares Global Sustainability Leaders ETF ,Financials,2656350000,209326241.0,12.69
HUB,HUB.AX,HUB24 Limited,Financials,2650980000,81769895.0,32.42
SGM,SGM.AX,Sims Limited,Materials,2646970000,193068563.0,13.71
DRR,DRR.AX,Deterra Royalties Limited,Materials,2643250000,525497018.0,5.03
MGF,MGF.AX,Magellan Global Fund,Financials,2633680000,1415956989.0,1.86
WEB,WEB.AX,Webjet Limited,Consumer Discretionary,2632400000,389985185.0,6.75
VGAD,VGAD.AX,Vanguard MSCI Index International Shares (Hedged) ETF ,Financials,2594320000,29311038.0,88.51
ARB,ARB.AX,ARB Corporation Limited,Consumer Discretionary,2562810000,83397657.0,30.73
BFL,BFL.AX,BSP Financial Group Limited,Financials,2522990000,476035849.0,5.3
PPT,PPT.AX,Perpetual Limited,Financials,2501290000,112367026.0,22.26
AMP,AMP.AX,AMP Limited,Financials,2475710000,2720560440.0,0.91
PRU,PRU.AX,Perseus Mining Limited,Materials,2417470000,1401431884.0,1.725
DEG,DEG.AX,De Grey Mining Limited,Materials,2415830000,1880023346.0,1.285
VNT,VNT.AX,Ventia Services Group Limited,Industrials,2412470000,840581882.0,2.87
CLW,CLW.AX,Charter Hall Long WALE REIT,Real Estate,2407440000,720790419.0,3.34
VAP,VAP.AX,Vanguard Australian Property Securities Index ETF,Financials,2400010000,31599868.0,75.95
RGN,RGN.AX,Region Group,Real Estate,2335210000,1150349754.0,2.03
HYGG,HYGG.AX,Hyperion Global Growth Companies Fund (Managed Fund) ,Financials,2332830000,538759815.0,4.33
GNE,GNE.AX,Genesis Energy Limited,Utilities,2321220000,1074638889.0,2.16
HDN,HDN.AX,HomeCo Daily Needs REIT,Real Estate,2305440000,2067659193.0,1.115
DHG,DHG.AX,Domain Holdings Australia Limited,Communication Services,2198170000,628048571.0,3.5
ZIM,ZIM.AX,Zimplats Holdings Limited,Materials,2185040000,107637438.0,20.3
BWP,BWP.AX,BWP Trust,Real Estate,2177680000,638615836.0,3.41
IAF,IAF.AX,iShares Core Composite Bond ETF,Financials,2118700000,21549024.0,98.32
PXA,PXA.AX,PEXA Group Limited,Real Estate,2110470000,177948567.0,11.86
SNZ,SNZ.AX,Summerset Group Holdings Limited,Health Care,2108530000,234281111.0,9.0
HBRD,HBRD.AX,BetaShares Active Australian Hybrids Fund (managed fund) ,Financials,2108090000,209760199.0,10.05
LNW,LNW.AX,Light & Wonder Inc,Consumer Discretionary,2095430000,15584040.0,134.46
VDHG,VDHG.AX,Vanguard Diversified High Growth Index ETF ,Financials,2069830000,35828804.0,57.77
LOV,LOV.AX,Lovisa Holdings Limited,Consumer Discretionary,2052350000,112272976.0,18.28
DDR,DDR.AX,Dicker Data Limited,Information Technology,2024130000,183511333.0,11.03
AIZ,AIZ.AX,Air New Zealand Limited,Industrials,2021080000,3368466667.0,0.6
AWC,AWC.AX,Alumina Limited,Materials,2002160000,2839943262.0,0.705
VUK,VUK.AX,Virgin Money UK PLC,Financials,1990190000,715895683.0,2.78
GOR,GOR.AX,Gold Road Resources Limited,Materials,1970310000,1091584488.0,1.805
CIP,CIP.AX,Centuria Industrial REIT,Real Estate,1917490000,630753289.0,3.04
MVW,MVW.AX,Vaneck Vectors Australian Equal Weight ETF,Financials,1910890000,57229410.0,33.39
NEU,NEU.AX,Neuren Pharmaceuticals Limited,Health Care,1878230000,126055705.0,14.9
CQR,CQR.AX,Charter Hall Retail REIT,Real Estate,1859930000,575829721.0,3.23
BAP,BAP.AX,Bapcor Limited,Consumer Discretionary,1846400000,343836127.0,5.37
AZS,AZS.AX,Azure Minerals Limited,Materials,1830130000,458679198.0,3.99
IVC,IVC.AX,InvoCare Limited,Consumer Discretionary,1825250000,144060773.0,12.67
BGL,BGL.AX,Bellevue Gold Limited,Materials,1809680000,1124024845.0,1.61
PNI,PNI.AX,Pinnacle Investment Management Group Limited,Financials,1808090000,204073363.0,8.86
CEN,CEN.AX,Contact Energy Limited,Utilities,1802190000,254546610.0,7.08
MXT,MXT.AX,Metrics Master Income Trust,Financials,1801580000,883127451.0,2.04
GMD,GMD.AX,Genesis Minerals Limited,Materials,1787210000,1054401180.0,1.695
LSF,LSF.AX,L1 Long Short Fund Limited,Financials,1777840000,619456446.0,2.87
VAF,VAF.AX,Vanguard Australian Fixed Interest Index ETF,Financials,1761640000,39865128.0,44.19
EVT,EVT.AX,EVT Limited,Communication Services,1757440000,162425139.0,10.82
NUF,NUF.AX,Nufarm Limited,Materials,1754550000,376512876.0,4.66
KLS,KLS.AX,Kelsian Group Limited,Industrials,1750830000,273567188.0,6.4
RMS,RMS.AX,Ramelius Resources Limited,Materials,1743990000,1143600000.0,1.525
LIC,LIC.AX,Lifestyle Communities Limited,Real Estate,1740680000,105177039.0,16.55
GNC,GNC.AX,GrainCorp Limited,Consumer Staples,1738610000,221761480.0,7.84
WLE,WLE.AX,WAM Leaders Limited,Financials,1732500000,1260000000.0,1.375
CMM,CMM.AX,Capricorn Metals Ltd,Materials,1718130000,380117257.0,4.52
MFF,MFF.AX,MFF Capital Investments Limited,Financials,1705720000,578210169.0,2.95
TAH,TAH.AX,Tabcorp Holdings Limited,Consumer Discretionary,1700400000,2297837838.0,0.74
GOZ,GOZ.AX,Growthpoint Properties Australia,Real Estate,1696170000,747211454.0,2.27
JLG,JLG.AX,Johns Lyng Group Limited,Industrials,1693810000,275864821.0,6.14
INA,INA.AX,Ingenia Communities Group,Real Estate,1675170000,405610169.0,4.13
PSI,PSI.AX,PSC Insurance Group Limited,Financials,1672960000,364479303.0,4.59
MP1,MP1.AX,Megaport Limited,Information Technology,1641530000,164153000.0,10.0
HMC,HMC.AX,HMC Capital Limited,Real Estate,1627830000,344150106.0,4.73
IPH,IPH.AX,IPH Limited,Industrials,1605750000,243295455.0,6.6
WAM,WAM.AX,WAM Capital Limited,Financials,1605170000,1107013793.0,1.45
WPR,WPR.AX,Waypoint REIT,Real Estate,1578770000,666147679.0,2.37
MAQ,MAQ.AX,Macquarie Technology Group Limited,Information Technology,1562660000,24875199.0,62.82
EMR,EMR.AX,Emerald Resources NL,Materials,1543860000,625044534.0,2.47
360,360.AX,"Life360, Inc.",Information Technology,1542310000,204009259.0,7.56
CDA,CDA.AX,Codan Limited,Information Technology,1528490000,182397375.0,8.38
BOE,BOE.AX,Boss Energy Limited,Energy,1524670000,345730159.0,4.41
GUD,GUD.AX,GUD Holdings Limited,Consumer Discretionary,1524480000,142474766.0,10.7
CGC,CGC.AX,Costa Group Holdings Limited,Consumer Staples,1445250000,464710611.0,3.11
SGR,SGR.AX,The Star Entertainment Group Limited,Consumer Discretionary,1434340000,2868680000.0,0.5
MND,MND.AX,Monadelphous Group Limited,Industrials,1410100000,96980743.0,14.54
ASK,ASK.AX,Abacus Storage King,Real Estate,1406090000,1301935185.0,1.08
ING,ING.AX,Inghams Group Limited,Consumer Staples,1404950000,377674731.0,3.72
IFL,IFL.AX,Insignia Financial Ltd,Financials,1379920000,647849765.0,2.13
BKI,BKI.AX,BKI Investment Company Limited,Financials,1356770000,798100000.0,1.7
DBI,DBI.AX,Dalrymple Bay Infrastructure Limited,Industrials,1353430000,495761905.0,2.73
RRL,RRL.AX,Regis Resources Limited,Materials,1340730000,759620397.0,1.765
APM,APM.AX,APM Human Services International Limited,Industrials,1339090000,904790541.0,1.48
ABC,ABC.AX,Adbri Limited,Materials,1332790000,650141463.0,2.05
MFG,MFG.AX,Magellan Financial Group Limited,Financials,1321560000,180787962.0,7.31
FRW,FRW.AX,Freightways Group Limited,Industrials,1311090000,178622616.0,7.34
SDR,SDR.AX,SiteMinder Limited,Information Technology,1306560000,276813559.0,4.72
MAD,MAD.AX,Mader Group Limited,Industrials,1288000000,200000000.0,6.44
CTT,CTT.AX,Cettire Limited,Consumer Discretionary,1284770000,372397101.0,3.45
RDX,RDX.AX,Redox Limited,Industrials,1275950000,525082305.0,2.43
NAN,NAN.AX,Nanosonics Limited,Health Care,1271240000,301957245.0,4.21
QPON,QPON.AX,BetaShares Australian Bank Senior Floating Rate Bond ETF ,Financials,1264550000,48786651.0,25.92
IXJ,IXJ.AX,iShares Global Healthcare ETF,Financials,1262450000,10005944.0,126.17
IHVV,IHVV.AX,iShares S&P 500 (AUD Hedged) ETF ,Financials,1259850000,29748524.0,42.35
AD8,AD8.AX,Audinate Group Limited,Information Technology,1233340000,82387442.0,14.97
MGH,MGH.AX,MAAS Group Holdings Limited,Industrials,1216760000,328854054.0,3.7
LFS,LFS.AX,Latitude Financial Services Group Limited,Financials,1216420000,1039675214.0,1.17
SKC,SKC.AX,SkyCity Entertainment Group Limited,Consumer Discretionary,1216330000,741664634.0,1.64
AUI,AUI.AX,Australian United Investment Company Limited,Financials,1210430000,125433161.0,9.65
HLI,HLI.AX,Helia Group Limited,Financials,1208870000,296291667.0,4.08
DTL,DTL.AX,Data#3 Limited,Information Technology,1205140000,155702842.0,7.74
ARF,ARF.AX,Arena REIT,Real Estate,1203190000,354923304.0,3.39
KAR,KAR.AX,Karoon Energy Ltd,Energy,1201020000,563859155.0,2.13
LFG,LFG.AX,Liberty Financial Group Limited,Financials,1200030000,303805063.0,3.95
MMS,MMS.AX,McMillan Shakespeare Limited,Industrials,1196470000,68565616.0,17.45
CKF,CKF.AX,Collins Foods Limited,Consumer Discretionary,1194880000,119488000.0,10.0
NWH,NWH.AX,NRW Holdings Limited,Industrials,1151950000,446492248.0,2.58
ELD,ELD.AX,Elders Limited,Consumer Staples,1142280000,157338843.0,7.26
SIQ,SIQ.AX,Smartgroup Corporation Ltd,Industrials,1133100000,133620283.0,8.48
CNI,CNI.AX,Centuria Capital Group,Real Estate,1127100000,805071429.0,1.4
RED,RED.AX,Red 5 Limited,Materials,1125210000,3409727273.0,0.33
HSN,HSN.AX,Hansen Technologies Limited,Information Technology,1097300000,203959108.0,5.38
IRE,IRE.AX,Iress Limited,Information Technology,1094590000,186471891.0,5.87
WC8,WC8.AX,Wildcat Resources Limited,Materials,1093340000,1194907104.0,0.915
TUA,TUA.AX,Tuas Limited,Communication Services,1088010000,464961538.0,2.34
SUBD,SUBD.AX,VanEck Australian Subordinated Debt ETF ,Financials,1084370000,43461723.0,24.95
CMW,CMW.AX,Cromwell Property Group,Real Estate,1060640000,2586926829.0,0.41
HGH,HGH.AX,Heartland Group Holdings Limited,Financials,1051440000,715265306.0,1.47
OCL,OCL.AX,Objective Corporation Limited,Information Technology,1047260000,95205455.0,11.0
DUI,DUI.AX,Diversified United Investment Limited,Financials,1046620000,217592516.0,4.81
PWH,PWH.AX,PWR Holdings Limited,Consumer Discretionary,1034990000,107364108.0,9.64
ABB,ABB.AX,Aussie Broadband Limited,Communication Services,1026530000,273013298.0,3.76
VGB,VGB.AX,Vanguard Australian Government Bond Index ETF,Financials,1023250000,22738889.0,45.0
STX,STX.AX,Strike Energy Limited,Energy,1015720000,2447518072.0,0.415
PRN,PRN.AX,Perenti Limited,Materials,998440000,978862745.0,1.02
BGP,BGP.AX,Briscoe Group Limited,Consumer Discretionary,984625000,222765837.0,4.42
NWS,NWS.AX,News Corporation,Communication Services,984372000,28376247.0,34.69
AX1,AX1.AX,Accent Group Limited,Consumer Discretionary,976897000,571284795.0,1.71
VSL,VSL.AX,Vulcan Steel Limited,Materials,975052000,134304683.0,7.26
SLR,SLR.AX,Silver Lake Resources Limited,Materials,962787000,934744660.0,1.03
JDO,JDO.AX,Judo Capital Holdings Limited,Financials,953999000,1122351765.0,0.85
WGX,WGX.AX,Westgold Resources Limited,Materials,947245000,476002513.0,1.99
CQE,CQE.AX,Charter Hall Social Infrastructure REIT,Real Estate,944967000,369127734.0,2.56
BGA,BGA.AX,Bega Cheese Limited,Consumer Staples,937915000,305509772.0,3.07
VIF,VIF.AX,Vanguard International Fixed Interest Index (Hedged) ETF,Financials,926525000,24511243.0,37.8
PNV,PNV.AX,Polynovo Limited,Health Care,921461000,682563704.0,1.35
ABG,ABG.AX,Abacus Group,Real Estate,911531000,884981553.0,1.03
MAF,MAF.AX,MA Financial Group Limited,Financials,907709000,176597082.0,5.14
IEM,IEM.AX,iShares MSCI Emerging Markets ETF,Financials,886080000,14790185.0,59.91
NCK,NCK.AX,Nick Scali Limited,Consumer Discretionary,878040000,82290534.0,10.67
CCP,CCP.AX,Credit Corp Group Limited,Financials,874659000,68870787.0,12.7
JIN,JIN.AX,Jumbo Interactive Limited,Consumer Discretionary,873060000,64337509.0,13.57
VBND,VBND.AX,Vanguard Global Aggregate Bond Index (Hedged) ETF ,Financials,868403000,21489805.0,40.41
IMD,IMD.AX,IMDEX Limited,Materials,865376000,512056805.0,1.69
DYL,DYL.AX,Deep Yellow Limited,Energy,864598000,729618565.0,1.185
WAF,WAF.AX,West African Resources Limited,Materials,846543000,1032369512.0,0.82
CUV,CUV.AX,Clinuvel Pharmaceuticals Limited,Health Care,833552000,49032471.0,17.0
REG,REG.AX,Regis Healthcare Limited,Health Care,827846000,301034909.0,2.75
DXI,DXI.AX,Dexus Industria REIT,Real Estate,824902000,313650951.0,2.63
HCW,HCW.AX,HealthCo Healthcare and Wellness REIT,Real Estate,804057000,562277622.0,1.43
GEM,GEM.AX,G8 Education Limited,Consumer Discretionary,801411000,809506061.0,0.99
AAC,AAC.AX,Australian Agricultural Company Limited,Consumer Staples,795652000,602766667.0,1.32
EHE,EHE.AX,Estia Health Limited,Health Care,792567000,259858033.0,3.05
TPW,TPW.AX,Temple & Webster Group Limited,Consumer Discretionary,791796000,127915347.0,6.19
SLX,SLX.AX,Silex Systems Limited,Industrials,790419000,235945970.0,3.35
SGF,SGF.AX,SG Fleet Group Limited,Industrials,789985000,341984848.0,2.31
HACK,HACK.AX,BetaShares Global Cybersecurity ETF ,Financials,782401000,77542220.0,10.09
A4N,A4N.AX,Alpha HPA Limited,Materials,779722000,928240476.0,0.84
RSG,RSG.AX,Resolute Mining Limited,Materials,777103000,2072274667.0,0.375
VSO,VSO.AX,Vanguard MSCI Australian Small Companies Index ETF,Financials,773407000,13090843.0,59.08
ADT,ADT.AX,Adriatic Metals Plc,Materials,767840000,242220820.0,3.17
IFRA,IFRA.AX,VanEck FTSE Global Infrastructure (Hedged) ETF ,Financials,767164000,39852675.0,19.25
QHAL,QHAL.AX,VanEck MSCI International Quality (Hedged) ETF ,Financials,765464000,18951820.0,40.39
SFY,SFY.AX,SPDR S&P/ASX 50 Fund,Financials,753810000,11942490.0,63.12
ERA,ERA.AX,Energy Resources of Australia Ltd,Energy,753042000,22148294118.0,0.034
SYA,SYA.AX,Sayona Mining Limited,Materials,751411000,10436263889.0,0.072
OML,OML.AX,oOh!media Limited,Communication Services,746212000,548685294.0,1.36
PGF,PGF.AX,PM Capital Global Opportunities Fund,Financials,744607000,409124725.0,1.82
IEU,IEU.AX,iShares Europe ETF,Financials,742269000,9716835.0,76.39
CXO,CXO.AX,Core Lithium Ltd,Materials,737243000,2136936232.0,0.345
